ID,name,address,postcode,phone,email,website,opening,referral_required,delivery_option,category,support,referral_link,info,lat,long
0,Hillsborough,66 Cross Bedford Street Sheffield,S63BS,0114 3210733,info@sheffields6.foodbank.org.uk,sheffields6.foodbank.org.uk,"Tuesday 11.00 – 13.00
Friday 11.00 – 13.00",1.0,0.0,foodbank,"Ambassador
Citizens Advice
IDAS
Council Housing Team (Monday)
Shelter(Friday)
Samaritans (Friday)
Good Work (Friday)
",data.foodbank.org.uk/,,53.3917,-1.4817
1,Crookes,"St Thomas' Church, Nairn Street, Crookes",S101UL,0114 3210733,info@sheffields6.foodbank.org.uk,sheffields6.foodbank.org.uk,Tuesday 14.00 – 15.00,1.0,0.0,foodbank,"Ambassador
Zest (Fortnightly)",data.foodbank.org.uk/,,53.3819,-1.5078
2,Parson Cross,"St Paul's Community Centre, 79 Wheata Road",S59FP,0114 3210733,info@sheffields6.foodbank.org.uk,sheffields6.foodbank.org.uk,Friday 11.00 – 13.00,1.0,0.0,foodbank,"Ambassador
Citizens Advice
Shelter",data.foodbank.org.uk/,,53.4335,-1.4679
3,Broomhall,"Broomhall Community Centre, Broomspring Lane",S102FD,0114 3210733,info@sheffields6.foodbank.org.uk,sheffields6.foodbank.org.uk,Monday 10.30 – 12.00,1.0,0.0,foodbank,Ambassador,data.foodbank.org.uk/,,53.3784,-1.4873
4,Sharrow,"Ship Shape, The Stables,  Sharrow Ln",S118AE,0114 3210733,info@sheffields6.foodbank.org.uk,sheffields6.foodbank.org.uk,Thursday 11.00 – 13.00,1.0,0.0,foodbank,,data.foodbank.org.uk/,,53.3671,-1.4772
5,Winn Gardens,"Winn Gardens TARA building, 126 Winn Drive",S61UD,0114 3210733,info@sheffields6.foodbank.org.uk,sheffields6.foodbank.org.uk,Thursday 11.00 – 13.00,1.0,0.0,foodbank,Ambassador,data.foodbank.org.uk/,,53.417,-1.5108
6,Firth Park,"Firth Park Library, 443 Firth Park Road",S56QQ,0114 3210733,info@sheffields6.foodbank.org.uk,sheffields6.foodbank.org.uk,Thursday 11.00 – 13.00,1.0,0.0,foodbank,"Ambassador
Citizens Advice
Council Housing Team",data.foodbank.org.uk/,,53.4181,-1.4487
7,Arbourthorne,"The Spires Centre, 600 East Bank Road",S22AN,0114 3210733,info@sheffields6.foodbank.org.uk,sheffields6.foodbank.org.uk,Wednesday 11.00 – 13.00,1.0,0.0,foodbank,Ambassador,data.foodbank.org.uk/,,53.3582,-1.4338
8,Shirecliffe,"Shirecliffe Community Centre, 349 Shirecliffe Rd",S58XL,07838 263559,info@sheffields6.foodbank.org.uk,sheffields6.foodbank.org.uk,Saturday 11.00 – 13.00,1.0,0.0,foodbank,Ambassador,data.foodbank.org.uk/,,53.411,-1.4722
9,Nether Edge / Abbeydale Road,"Common Ground Community Centre, St Peters Hall, Woodstock Rd",S71GR,0114 3210733,info@sheffields6.foodbank.org.uk,sheffields6.foodbank.org.uk,Tuesday 12.30 – 14.30,1.0,0.0,foodbank,"Ambassador
Citizens Advice",,,53.3592,-1.4819
10,Nether Edge & Sharrow,"206, Club Garden Road",S118BX,07988 033534,,www.facebook.com/NESFoodbank/,Wednesday 18.00 - 19.00,1.0,0.0,foodbank,,"Need a referral, should be sent to them by Sunday so they prepare a parcel for Wednesday",Bryony called on 22/08/2023 them and left them a message to email Blessan their referral form (SPRING 3),53.3685,-1.4797
11,S2 Food Bank Network,"St Swithuns, 2 Cary Road",S21JP,07804 406267,info@s2foodbank.org.uk,www.s2foodbank.org.uk,Wednesday 12.00 - 14.00,1.0,0.0,foodbank,,www.s2foodbank.org.uk/make-a-referral,People can refer themselves or can ask a professional to fill the form either online or download it from the site,53.3662,-1.4288
12,Gleadless Valley Foodbank,"Gleadless Valley Methodist Church,
Blackstock Road",S141FT,0114 2530315,info@gleadlessvalley.foodbank.org.uk,gleadlessvalley.foodbank.org.uk,Friday 12.00 - 14.30,1.0,0.0,foodbank,,gleadlessvalley.foodbank.org.uk/get-help/how-to-get-help/,Contact foodbank first and they will explain how to get a referral,53.3434,-1.4475
13,Burngreave,"Rock Christian Centre, 177 Spital Hill",S47LF,07542 888671,info@burngreave.foodbank.org.uk,burngreave.foodbank.org.uk,"Wednesday 13.00 - 15.00
Friday 13.00 - 15.00",1.0,0.0,foodbank,,burngreave.foodbank.org.uk/get-help/how-to-get-help/,Contact foodbank first and they will explain how to get a referral,53.3912,-1.459
14,Darnall,"Living Waters Christian Fellowship, 81 Main Road",S95HL,07542 888671,info@burngreave.foodbank.org.uk,burngreave.foodbank.org.uk,"Tuesday 13.00 - 15.00
Thursday 13.00 - 15.00",1.0,0.0,foodbank,,burngreave.foodbank.org.uk/get-help/how-to-get-help/,Contact foodbank first and they will explain how to get a referral,53.3882,-1.4123
15,Fir Vale,"St Cuthbert’s Church, Barnsley Road, Fir Vale",S56UA,,firvalefoodbank@gmail.com,www.facebook.com/groups/3062484973987592/,Thursday 12.30 - 14.30,1.0,0.0,foodbank/ community meal,Meal served 12.30 - 14.00,docs.google.com/document/d/1n2ro64q6afuxVAmoKJ1DxVuDiRz4nsc4/edit?usp=drive_link&ouid=117240701431035123745&rtpof=true&sd=true,No self-referrals or walk in. All completed referral forms must be emailed by Wednesdays 4.30pm to be included that week.,53.4095,-1.4517
